"2024/05/06 09:25,""KSS pré-prétest"""
"2024/05/06 09:26,""OSPAN prétest"""
"2024/05/06 09:48,""KSS mid-prétest"""
"2024/05/06 09:49,""ANT prétest"""
"2024/05/06 09:58,""KSS post-prétest"""
"2024/05/06 09:59,""AX-CPT"""
"2024/05/06 10:11,""KSS1"""
"2024/05/06 10:19,""KSS2"""
"2024/05/06 10:27,""KSS3"""
"2024/05/06 10:28,""Intervention urbaine"""
"2024/05/06 10:36,""KSS4"""
"2024/05/06 10:43,""KSS5"""
"2024/05/06 10:44,""OSPAN posttest"""
"2024/05/06 11:02,""KSS mid-posttest"""
"2024/05/06 11:02,""ANT posttest"""
"2024/05/06 11:11,""KSS5"""
